Batch Type,Learning Rate,Threshold,Training Accuracy,Accuracy,Precision,F1,Recall
Batch,0.01,0.5,98.608924%,97.659574%,97.784676%,97.545594%,97.330866%
Batch,0.01,0.3,98.372703%,97.446809%,96.302100%,97.255979%,98.243733%
Batch,0.01,0.4,98.792651%,97.712766%,97.147909%,97.482025%,97.858269%
Batch,0.01,0.6,98.661417%,97.287234%,98.552443%,97.047715%,95.655056%
Batch,0.01,0.7,98.372703%,96.914894%,98.671509%,96.571317%,94.613126%
Batch,0.001,0.5,98.897638%,97.500000%,97.593613%,97.142012%,96.744813%
Batch,0.001,0.3,98.582677%,97.234043%,95.768640%,97.017843%,98.338917%
Batch,0.001,0.4,98.871391%,97.393617%,96.667854%,97.162110%,97.695023%
Batch,0.001,0.6,98.661417%,97.127660%,98.207414%,96.880882%,95.650744%
Batch,0.001,0.7,98.398950%,96.968085%,98.674533%,96.659552%,94.774417%
Batch,0.0001,0.5,98.950131%,97.393617%,97.435362%,97.026130%,96.657857%
Batch,0.0001,0.3,98.556430%,97.287234%,95.929842%,97.096479%,98.338917%
Batch,0.0001,0.4,98.871391%,97.287234%,96.584144%,97.043300%,97.543085%
Batch,0.0001,0.6,98.661417%,97.074468%,98.040747%,96.807141%,95.650744%
Batch,0.0001,0.7,98.398950%,96.968085%,98.674533%,96.659552%,94.774417%
Mini-Batch,0.01,0.5,98.713911%,97.659574%,97.710971%,97.542836%,97.404544%
Mini-Batch,0.01,0.3,98.372703%,97.606383%,96.292711%,97.447144%,98.649461%
Mini-Batch,0.01,0.4,98.713911%,97.393617%,96.819750%,97.192216%,97.601712%
Mini-Batch,0.01,0.6,98.740157%,97.180851%,98.128565%,96.895975%,95.740514%
Mini-Batch,0.01,0.7,98.398950%,96.755319%,98.498358%,96.445784%,94.542518%
Mini-Batch,0.001,0.5,98.897638%,97.340426%,97.431234%,97.128823%,96.880716%
Mini-Batch,0.001,0.3,98.530184%,97.127660%,95.904414%,96.958891%,98.082359%
Mini-Batch,0.001,0.4,98.845144%,97.180851%,96.576129%,96.954212%,97.376168%
Mini-Batch,0.001,0.6,98.740157%,97.127660%,98.042398%,96.853456%,95.740514%
Mini-Batch,0.001,0.7,98.398950%,96.755319%,98.498358%,96.445784%,94.542518%
Mini-Batch,0.0001,0.5,98.897638%,97.234043%,97.267299%,96.972573%,96.731462%
Mini-Batch,0.0001,0.3,98.530184%,97.127660%,95.904414%,96.958891%,98.082359%
Mini-Batch,0.0001,0.4,98.845144%,97.127660%,96.499938%,96.914714%,97.376168%
Mini-Batch,0.0001,0.6,98.740157%,97.127660%,98.042398%,96.853456%,95.740514%
Mini-Batch,0.0001,0.7,98.398950%,96.755319%,98.498358%,96.445784%,94.542518%
Stochastic,0.01,0.5,98.188976%,98.031915%,98.045485%,97.975690%,97.911427%
Stochastic,0.01,0.3,97.585302%,97.606383%,96.056764%,97.500764%,98.998392%
Stochastic,0.01,0.4,98.372703%,98.138298%,97.497207%,98.005429%,98.522151%
Stochastic,0.01,0.6,98.372703%,97.234043%,98.370614%,96.981028%,95.661966%
Stochastic,0.01,0.7,97.952756%,96.702128%,99.169266%,96.450521%,93.947195%
Stochastic,0.001,0.5,98.713911%,97.978723%,98.034686%,97.835692%,97.661102%
Stochastic,0.001,0.3,98.005249%,97.553191%,96.111579%,97.461794%,98.861011%
Stochastic,0.001,0.4,98.582677%,98.031915%,97.341239%,97.850547%,98.372898%
Stochastic,0.001,0.6,98.530184%,97.287234%,98.372139%,97.025455%,95.748922%
Stochastic,0.001,0.7,98.031496%,96.808511%,99.172513%,96.542151%,94.121108%
Stochastic,0.0001,0.5,98.713911%,97.978723%,98.034686%,97.835692%,97.661102%
Stochastic,0.0001,0.3,98.005249%,97.500000%,96.025034%,97.384702%,98.798714%
Stochastic,0.0001,0.4,98.582677%,98.031915%,97.341239%,97.850547%,98.372898%
Stochastic,0.0001,0.6,98.556430%,97.287234%,98.372139%,97.025455%,95.748922%
Stochastic,0.0001,0.7,98.057743%,96.808511%,99.172513%,96.542151%,94.121108%
